lon,lat,dist_costa_km,r_droga,r_pesca,r_poluicao,r_imigracao,ais_embarcacoes,ais_rotas
-11.0,36.85,173.7969008855071,0.42558,0.0,0.02854,0.00015,0.06604,0.78001
-11.0,36.95,172.87993206567032,0.41646,0.0,0.02539,0.00018,0.05935,0.75908
-11.0,37.050000000000004,172.6676323292087,0.40462,0.0,0.02353,0.00022,0.05229,0.73765
-11.0,37.150000000000006,173.16259349766855,0.3903,0.0,0.02567,0.00025,0.04555,0.72156
-11.0,37.25000000000001,174.35879246261945,0.37382,0.0,0.03348,0.00029,0.03998,0.71569
-11.0,37.35000000000001,176.2419513643867,0.35551,1e-05,0.04425,0.00033,0.03629,0.71881
-11.0,37.45000000000001,178.5204547075249,0.33574,1e-05,0.05004,0.00038,0.0345,0.72467
-11.0,37.55000000000001,180.801789547075,0.31491,1e-05,0.04656,0.00042,0.03418,0.72872
-11.0,37.65000000000001,173.98623898335273,0.29339,2e-05,0.03965,0.00046,0.03517,0.73136
-11.0,37.750000000000014,166.8842193837519,0.27156,5e-05,0.03697,0.0005,0.03714,0.73536
-11.0,37.850000000000016,160.23110245079243,0.24976,0.00012,0.03933,0.00053,0.0394,0.74199
-11.0,37.95000000000002,154.08504760484803,0.2283,0.00041,0.04101,0.00054,0.04257,0.75014
-11.0,38.05000000000002,148.50902258011254,0.20742,0.00164,0.03743,0.00054,0.04856,0.75846
-11.0,38.15000000000002,143.56946008651124,0.18733,0.00639,0.03183,0.00053,0.05684,0.76737
-11.0,38.25000000000002,139.33406669183395,0.16816,0.02229,0.03031,0.0005,0.06334,0.77792
-11.0,38.35000000000002,135.86871090047347,0.15002,0.06623,0.03397,0.00046,0.06589,0.7892
-11.0,38.450000000000024,133.2334914807402,0.13297,0.1572,0.04012,0.0004,0.06712,0.79797
-11.0,38.550000000000026,131.47833316581313,0.11703,0.28792,0.04718,0.00035,0.06921,0.80148
-11.0,38.65000000000003,130.6387121855257,0.10222,0.33428,0.055,0.00029,0.07021,0.79954
-11.0,38.75000000000003,130.7322696982069,0.08857,0.34575,0.06096,0.00023,0.06767,0.79407
-11.0,38.85000000000003,131.75701783554757,0.07609,0.33464,0.06012,0.00018,0.06265,0.7876
-11.0,38.95000000000003,133.6915455326509,0.06479,0.30834,0.05402,0.00014,0.05848,0.78262
-11.0,39.05000000000003,136.49717628735402,0.05467,0.18323,0.05074,0.0001,0.05773,0.78092
-11.0,39.150000000000034,140.12159402266684,0.04573,0.07645,0.05316,7e-05,0.06041,0.78293
